Alisson Vasconcelos de Brito,UFPB,ROBOTICS
Ana Cristina Vendramin,UTFPR,ROBOTICS
Andre Inacio Reis,UFRGS,HARDWARE
Andre Schneider de Oliveira,UTFPR,ROBOTICS
Antonio Augusto Medeiros Frohlich,UFSC,HARDWARE
Bernardo Pereira Nunes,PUC-Rio,CS
Bianchi Meiguins,UFPA,CS
Bruno Zatt,UFPEL,HARDWARE
Claudio Geyer,UFRGS,CS
Cristina Meinhardt,FURG,HARDWARE
Dante Augusto Couto Barone,UFRGS,CS
Douglas Guimaraes Macharet,UFMG,ROBOTICS
Edson Emilio Scalabrin,PUCPR,CS
Edson Prestes e Silva,UFRGS,ROBOTICS
Eduardo Todt,UFPR,ROBOTICS
Eliane Martins,UNICAMP,CS
Emerson Paraiso,PUCPR,CS
Felipe de Souza Marques,UFPEL,HARDWARE
Felipe Gomes de Oliveira,UFAM,ROBOTICS
Fernando Gehm Moraes,PUC-RS,HARDWARE
Guilherme Sousa Bastos,UNIFEI,ROBOTICS
Guilherme Sousa Bastos,UNIFEI,ROBOTICS
Gustavo Pessin,ITV,ROBOTICS
Gustavo Pessin,ITV,ROBOTICS
Hansenclever Bassani,UFPE,ROBOTICS
Hansenclever Bassani,UFPE,ROBOTICS
Hector Azpurua,UFMG,ROBOTICS
Hector Azpurua,UFMG,ROBOTICS
Joao Fabro,UTFPR,ROBOTICS
Joao Fabro,UTFPR,ROBOTICS
Joaquim Celestino,UECE,CS
Joaquim Celestino,UECE,CS
Jose Luis Guntzel,UFSC,HARDWARE
Jose Luis Guntzel,UFSC,HARDWARE
Kalinka Castelo Branco,ICMC/USP,ROBOTICS
Kalinka Castelo Branco,ICMC/USP,ROBOTICS
Kelen Vivaldini,UFSCar,ROBOTICS
Kelen Vivaldini,UFSCar,ROBOTICS
Lina Garces,UNIFEI,CS
Lucas Nascimento Ferreira,UFV,HARDWARE
Luigi Carro,UFRGS,HARDWARE
Luiz Chaimowicz,UFMG,ROBOTICS
Luiz Claudio Villar dos Santos,UFSC,HARDWARE
Luiz Marcos Goncalves,UFRN,ROBOTICS
Marcio Delamaro,ICMC/USP,CS
Marco Antonio Simoes Teixeira,PUCPR,ROBOTICS
Marco Aurelio Wehrmeister,UTFPR,ROBOTICS
Maria Lucia Bento Villela,UFV,CS
Mariana Kolberg,UFRGS,ROBOTICS
Mario Fernando Montenegro Campos,UFMG,ROBOTICS
Mateus Grellert,UFRGS,HARDWARE
Paulo Butzen,FURG,HARDWARE
Paulo Lilles Jorge Drews Junior,FURG,ROBOTICS
Paulo Roberto Ferreira Junior,UFPEL,ROBOTICS
Rafael Kunst,Unisinos,CS
Raimundo Macedo,UFBA,CS
Renan Maffei,UFRGS,ROBOTICS
Renato Assuncao,UFMG,ROBOTICS
Renato Ishii,UFMS,CS
Renato Perez Ribas,UFRGS,HARDWARE
Ricardo Reis,UFRGS,HARDWARE
Rita Suzana Pitangueira Maciel,UFBA,CS
Roberto Inoue,UFSCar,ROBOTICS
Rodolfo Stoffel Antunes,Unisinos,CS
Roseli Francelin Romero,ICMC/USP,ROBOTICS
Sergio Bampi,UFRGS,HARDWARE
Silvia Costa Botelho,FURG,ROBOTICS
Tiago Pereira do Nascimento,UFPB,ROBOTICS
Vinicius Costa de Souza,Unisinos,CS
Vinicius Menezes de Oliveira,FURG,ROBOTICS
