IEEE Robotics Autom. Lett,IEEE Robotics and Automation Letters,4
IEEE Trans. Robotics,IEEE Transactions on Robotics,4
IEEE Robotics Autom. Mag.,IEEE Robotics & Automation Magazine,5
Int. J. Robotics Res.,International Journal of Robotics Research,4
Robotics Auton. Syst., Robotics and Autonomous Systems,6
Robotica,Robotica,7
Sci. Robotics,Science Robotics,4
J. Robotics,Journal of Robotics,7
Int. J. Soc. Robotics,International Journal of Social Robotics,7
Auton. Robots,Autonomous Robots,5
J. Intell. Robotic Syst.,Journal of Intelligent and Robotic Systems,6
Intell. Serv. Robotics,Intelligent Service Robotics,7
Swarm Intell.,Swarm Intelligence,7
Int. J. Intell. Robotics Appl.,International Journal of Intelligent Robotics and Applications,7
Commun. ACM,Communications ACM,6
Computer,IEEE Computer,6
ACM Comput. Surv.,ACM Comput. Surveys,5
Comput. Stand. Interfaces,Comput. Stand. Interfaces,5
